hotel_name,room_type,max_guests,star_rating,province,district,nearest_cities,activities_at_hotel,nearby_attractions,activities_at_nearby_places,scene_type,image_url,price_per_night_usd,features,description,latitude,longitude
"Hanuman Hill House, Rumassala, Galle.",Entire villa,6,4.87,Central Province,Kandy District,"Kandy, Nuwara Eliya, Ella",Scenic hill walks and hiking; Panoramic hill-top views; Photography of hill country; Swimming in the nearby lake; Boat ride on the nearby lake or river; Fishing at the nearby lake; Kayaking in the nearby water; Day visit to nearby botanical gardens; Photography walk through scenic gardens; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area,Temple of the Sacred Tooth Relic (Religious Sites); Royal Botanical Gardens Peradeniya (Gardens); Ramboda Waterfall (Waterfalls); Kandy Lake (Bodies of Water); Bahiravokanda Vihara Buddha Statue (Religious Sites); Peradeniya Botanical Gardens (Gardens),Swimming in the lake; Boat rides and lake tours; Fishing with local fishermen; Lakeside cycling and walking; Kayaking and canoeing; Sunset viewing over the water; Bird watching around the lake; Botanical garden walks; Nature and flower photography; Picnics among flowers and trees; Guided plant and herb tours; Bird watching in garden habitats,mountain | hillside | scenic,https://images.pexels.com/photos/14269903/pexels-photo-14269903.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$246,Mountain View; Full Kitchen; Family Friendly; Free Parking; Free WiFi,"High above the lowland bustle, Hanuman Hill House, Rumassala, Galle. in Kandy is a serene highland retreat offering mountain views, Mountain View, and Full Kitchen.",7.337057,80.680573
Garden Villa Ronnaduwa - Entire Villa with Pool,Entire villa,8,5,Southern Province,Galle District,"Galle, Unawatuna",Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming in the hotel pool; Poolside relaxation and sunbathing; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,pool | villa | tropical,https://images.pexels.com/photos/11457819/pexels-photo-11457819.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$308,Swimming Pool; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,"Unwind in your private tropical retreat at Garden Villa Ronnaduwa - Entire Villa with Pool, where a sparkling pool meets lush resort-style surroundings in the heart of Galle.",6.032645,80.240496
Amandhira,Entire villa,6,4.67,Southern Province,Galle District,"Galle, Unawatuna",Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,villa | tropical | coastal,https://images.pexels.com/photos/28843968/pexels-photo-28843968.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$289,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Escape the ordinary at Amandhira, a villa-style villa retreat in Galle where Beach Access, Ocean View, and warm hospitality create lasting memories.",6.052601,80.228588
Luxury private beach villa in unawatuna with pool,Entire villa,6,4.8,Southern Province,Galle District,"Unawatuna, Galle, Ahangama",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming in the hotel pool; Poolside relaxation and sunbathing; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Day trip to nearby ancient ruins; Guided heritage tour of historic sites,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments,beach | tropical | ocean,https://images.pexels.com/photos/5232514/pexels-photo-5232514.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$293,Swimming Pool; Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking,"Embrace the coastal lifestyle at Luxury private beach villa in unawatuna with pool, a laid-back villa in Unawatuna offering beach access, Swimming Pool, and the charm of Hikkaduwa Beach.",6.027742,80.208606
Indie Beachouse -step on to the Beach,Entire villa,6,4.92,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/6875500/pexels-photo-6875500.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$274,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,Wake up to the sound of waves at Indie Beachouse -step on to the Beach — a sun-drenched villa retreat in Hikkaduwa with direct beach access and Beach Access.,6.085149,80.210294
Madiha Garden: luxury villa & pool next to beach,Entire villa,8,4.91,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Relaxing walks through the hotel garden; Garden photography; Birdwatching in the garden; Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming in the hotel pool; Poolside relaxation and sunbathing; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/20651220/pexels-photo-20651220.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$287,Swimming Pool; Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking,Wake up to the sound of waves at Madiha Garden: luxury villa & pool next to beach — a sun-drenched villa retreat in Hikkaduwa with direct beach access and Swimming Pool.,6.014889,80.227385
Cottage by the Lake (5 mins from the beach),Entire villa,6,5,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming in the lake; Lakeside walks; Boat rides on the lake; Fishing by the lake; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/35157035/pexels-photo-35157035.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$283,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Steps from the golden sands of Hikkaduwa, Cottage by the Lake (5 mins from the beach) is a breezy villa haven where ocean breezes and Hikkaduwa Beach are right at your doorstep.",6.062723,80.225563
Terrene Villa: your playful oasis by the beach,Entire home,6,5,Southern Province,Galle District,"Hikkaduwa, Mirissa, Bentota",Swimming in the ocean; Surfing and bodyboarding; Sunbathing on the beach; Beach walks at sunrise and sunset; Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,beach | tropical | ocean,https://images.pexels.com/photos/28408342/pexels-photo-28408342.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$136,Beach Access; Ocean View; Full Kitchen; Family Friendly; Free Parking; Air Conditioning,"Steps from the golden sands of Hikkaduwa, Terrene Villa: your playful oasis by the beach is a breezy home haven where ocean breezes and Hikkaduwa Beach are right at your doorstep.",6.071671,80.22601
Ambalama Pavillion,Private room in guest suite,2,5,Western Province,Colombo District,Colombo,Swimming at the nearby beach; Surfing and bodyboarding at the beach; Snorkeling in the ocean nearby; Beach walks at sunrise and sunset; Beach volleyball; Visit to the nearby local museum; Cultural and heritage learning tour; Visiting the nearby elephant orphanage; Watching elephant bathing and feeding; Day trip to nearby temples and shrines; Attending local festivals and ceremonies,Mount Lavinia Beach (Beaches); Gangaramaya Buddhist Temple (Religious Sites); Kelaniya Raja Maha Vihara (Religious Sites); Colombo National Museum (Museums); Colombo Lotus Tower (Museums); National Zoological Gardens (Zoological Gardens),Swimming in the ocean; Surfing and bodyboarding; Snorkeling and coral reef exploration; Sunbathing on the beach; Beach volleyball; Sunset and sunrise watching; Beach cycling; Boat rides along the coast; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops,guesthouse | tropical | homely,https://images.pexels.com/photos/929355/pexels-photo-929355.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$77,Beach Access; Air Conditioning; Free WiFi,"Enjoy an authentic stay at Ambalama Pavillion, a well-appointed guest suite in Colombo with Beach Access and a short distance from Mount Lavinia Beach.",6.9724,79.857362
Villa Sisila on Talduwa Island,Entire villa,8,4.67,Southern Province,Galle District,"Galle, Unawatuna",Island exploration walks; Snorkeling around the island; Beach relaxation; Day trip to nearby ancient ruins; Guided heritage tour of historic sites; Visit to the nearby local museum; Cultural and heritage learning tour; Guided jungle trek in nearby wildlife area; Bird watching in the nearby forest; Eco tour in the nature reserve; Swimming at the nearby beach; Surfing and bodyboarding at the beach,Hikkaduwa Beach (Beaches); Unawatuna Beach (Beaches); Galle Fort (Historic Sites); Hikkaduwa Coral Sanctuary (Adventure & Sports); Galle Fort Heritage Town (Town & Heritage); Galle Lighthouse (Town & Heritage),Guided heritage walking tours; Exploring ancient ruins and architecture; Archaeological site visits; Photography of historical monuments; Cycling around historic areas; Exploring cultural and historical exhibits; Guided museum tours; Learning about local art and history; Attending cultural workshops; Bird watching with expert guides; Jungle trekking through forest trails; Wildlife spotting and photography,island | tropical | beach,https://images.pexels.com/photos/11457817/pexels-photo-11457817.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,$292,Beach Access; Full Kitchen; Family Friendly; Free Parking; Air Conditioning; Free WiFi,Wake up to the sound of waves at Villa Sisila on Talduwa Island — a sun-drenched villa retreat in Galle with direct beach access and Beach Access.,6.074337,80.214845
